"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Express Saver","Worldwide Express Saver"
"Shipping key","Ключ доставки"
"Shipping key (International)","Ключ доставки (міжнародний)"
"Container","Котейнер"
"Handling fee","Комісія за оформлення"
"Handling Applied","Комісія за оформлення врахована"
"Rectangular","Прямокутна форма"
"Password","Пароль"
"Parcel","Пакунок"
"Package","Пакет"
"Parcel Post","Поштово-посилкова служба"
"Sort order","Порядок сортування"
"Displayed Error Message","Повідомлення про помилки"
"Show method if not applicable","Показувати недоступні методи"
"Error #%s : %s (%s)","Помилка #%s : %s (%s)"
"Error #%s: %s","Помилка #%s: %s"
"First-Class","Перший клас"
"Weight Unit","Одиниці ваги"
"Receiver","Одержувач"
"Package Description","Опис пакету"
"No","Ні"
"Next Afternoon","На наступний день"
"Account number","Номер облікового запису"
"Non-rectangular","Не прямокутної форми"
"Invalid DHL XML code type: %s","Невірний DHL XML тип коду: %s"
"Invalid DHL XML code for type %s: %s","Невірний DHL XML код для типу %s: %s"
"Invalid FedEx XML code type: %s","Невірний FedEx XML тип коду: %s"
"Invalid FedEx XML code for type %s: %s","Невірний FedEx XML код для типу %s: %s"
"Invalid UPS CGI code type: %s","Невірний UPS CGI тип коду: %s"
"Invalid UPS CGI code for type %s: %s","Невірний UPS CGI код для типу %s: %s"
"Invalid USPS XML code type: %s","Невірний USPS XML тип коду: %s"
"Invalid USPS XML code for type %s: %s","Невірний USPS XML код для типу %s: %s"
"Unknown error","Невідома помилка"
"There is no available method for selected shipping address.","Немає жодного доступного методу доставки за вказаною адресою."
"Cannot retrieve shipping rates","Неможливо найти розцінки для доставки"
"Unable to retrieve tracking","Неможливо отримати інформацію про доставку"
"Calculate Handling Fee","Розрахувати комісію за оформлення"
"Size","Розмір"
"Station","Станція"
"Third Party","Третя сторона"
"Yes","Так"
"Destination type","Тип адреси"
"Shipment type","Тип доставки"
"Shipment Duty Payment Type","Тип митного платежу на доставку"
"Enabled","Увімкнено"
"Packaging","Упаковка"
"Origin of the shipment","Місце відправки"
"Minimum order amount for free shipping","Мінімальна вартість замовлення для безкоштовної доставки"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Максимальна вага пакунку (Будь-ласка, прокосультуйтесь з Вашм перевізником для щодо максимально дозволеної ваги доставки)"
"Oversize","Завищені розміри"
"Title","Заголовок"
"Order","Замовлення"
"Regular","Звичайний"
"Variable","Змінна"
"Request Courier","Знайти перевізника"
"Free method","Будь-який спосіб"
"Library","Бібліотека"
"Free shipping with minimum order amount","Безкоштовна доставка при мінімальній сумі замвлення"
"All Services","Всі послуги"
"Tracking XML URL","Відслідковується XML URL"
"Sender","Відправник"
"Response is in the wrong format","Відповідь невірного формату"
"Your Packaging","Ваша упаковка"
"Large","Великий"
"Ship to applicable countries","Доставка до усіх перелічених країн"
"Ship to Specific countries","Доставка до зазначених країн"
"Home Delivery","Доставка додому"
"Shipment is not available.","Доставка неможлива."
"Shipment Dutiable","Доставка, що підлягає сплаті мита"
"Delivered","Доставлено"
"Allowed methods","Дозволені методи"
"Access license number","Ліцензійний номер доступу"
"Letter","Лист"
